Fase,Nome da tarefa,Status da tarefa,Data de início,Responsável,Tipo,Bloqueado por,Bloqueando,Número,Progresso,Resumo por IA
Fase 1,Eleboração do documento de requisitos,Concluído,21 de agosto de 2024 → 28 de agosto de 2024,,Analise e projeto,,"Elaboração do documento de estimativas (https://www.notion.so/Elabora-o-do-documento-de-estimativas-fe19f838abed4b7b91770497a2b18e7f?pvs=21), RD Documento de requisitos (https://www.notion.so/RD-Documento-de-requisitos-3b6c457a344a4a1280259c290c46f57d?pvs=21), Modelo Conceitual (https://www.notion.so/Modelo-Conceitual-10aa4fab8f37804b90e1d0b4778159d9?pvs=21), Desenvolvimento (https://www.notion.so/Desenvolvimento-10aa4fab8f378032a888c18f66af2b19?pvs=21)",1,100%,
Fase 1,Elaboração do documento de estimativas,Concluído,29 de agosto de 2024 → 12 de setembro de 2024,,Gerencia,Eleboração do documento de requisitos (https://www.notion.so/Elebora-o-do-documento-de-requisitos-263d29dd826f4f38b87d37411a0503bc?pvs=21),Controle de Projeto (https://www.notion.so/Controle-de-Projeto-118a4fab8f3780f7be9af77f5aafd837?pvs=21),3,100%,
Fase 1,RD Documento de requisitos,Concluído,7 de setembro de 2024 → 16 de setembro de 2024,,SQA,Eleboração do documento de requisitos (https://www.notion.so/Elebora-o-do-documento-de-requisitos-263d29dd826f4f38b87d37411a0503bc?pvs=21),"Elaboração dos Casos de Uso (https://www.notion.so/Elabora-o-dos-Casos-de-Uso-9ce908523a9e4b0983f796e3f30d019a?pvs=21), Diagrama de caso de uso (https://www.notion.so/Diagrama-de-caso-de-uso-10aa4fab8f3780d18b59f67185bab8f6?pvs=21)",2,100%,
"Fase 1, Fase 2, Fase 3",Controle de Projeto,Em andamento,13 de setembro de 2024 → 8 de novembro de 2024,,,Elaboração do documento de estimativas (https://www.notion.so/Elabora-o-do-documento-de-estimativas-fe19f838abed4b7b91770497a2b18e7f?pvs=21),Testes (https://www.notion.so/Testes-10aa4fab8f3780699226ea557b7a9802?pvs=21),,,
"Fase 1, Fase 2",Diagrama de caso de uso,Em andamento,17 de setembro de 2024 → 24 de setembro de 2024,,Analise e projeto,RD Documento de requisitos (https://www.notion.so/RD-Documento-de-requisitos-3b6c457a344a4a1280259c290c46f57d?pvs=21),"RD Casos de Uso (https://www.notion.so/RD-Casos-de-Uso-c252726710854ff39bef026c83ccc98b?pvs=21), Diagrama de sequencia (https://www.notion.so/Diagrama-de-sequencia-10aa4fab8f3780659d01eb4136d79dfe?pvs=21), Modelo Conceitual (https://www.notion.so/Modelo-Conceitual-10aa4fab8f37804b90e1d0b4778159d9?pvs=21)",5,0%,
"Fase 1, Fase 2",Elaboração dos Casos de Uso,Em andamento,18 de setembro de 2024 → 25 de setembro de 2024,,Analise e projeto,RD Documento de requisitos (https://www.notion.so/RD-Documento-de-requisitos-3b6c457a344a4a1280259c290c46f57d?pvs=21),RD Casos de Uso (https://www.notion.so/RD-Casos-de-Uso-c252726710854ff39bef026c83ccc98b?pvs=21),4,60%,
Fase 2,Modelo Conceitual,Não iniciada,26 de setembro de 2024 → 1 de outubro de 2024,,Analise e projeto,"Eleboração do documento de requisitos (https://www.notion.so/Elebora-o-do-documento-de-requisitos-263d29dd826f4f38b87d37411a0503bc?pvs=21), Diagrama de caso de uso (https://www.notion.so/Diagrama-de-caso-de-uso-10aa4fab8f3780d18b59f67185bab8f6?pvs=21)","RD Diagrama de Sequencia e  Modelo Conceitual (https://www.notion.so/RD-Diagrama-de-Sequencia-e-Modelo-Conceitual-0d29ba8b747b48fe9759e21b95c6a62a?pvs=21), Diagrama de Classes (https://www.notion.so/Diagrama-de-Classes-10aa4fab8f378053b741e98911513c6a?pvs=21)",7,0%,
Fase 2,RD Casos de Uso,Não iniciada,26 de setembro de 2024 → 28 de setembro de 2024,,SQA,"Elaboração dos Casos de Uso (https://www.notion.so/Elabora-o-dos-Casos-de-Uso-9ce908523a9e4b0983f796e3f30d019a?pvs=21), Diagrama de caso de uso (https://www.notion.so/Diagrama-de-caso-de-uso-10aa4fab8f3780d18b59f67185bab8f6?pvs=21)",,6,0%,
Fase 2,Diagrama de sequencia,Não iniciada,27 de setembro de 2024 → 29 de setembro de 2024,,Analise e projeto,Diagrama de caso de uso (https://www.notion.so/Diagrama-de-caso-de-uso-10aa4fab8f3780d18b59f67185bab8f6?pvs=21),"RD Diagrama de Sequencia e  Modelo Conceitual (https://www.notion.so/RD-Diagrama-de-Sequencia-e-Modelo-Conceitual-0d29ba8b747b48fe9759e21b95c6a62a?pvs=21), Diagrama de Colaboração (https://www.notion.so/Diagrama-de-Colabora-o-10aa4fab8f3780daa128fb698515449d?pvs=21)",8,0%,
Fase 2,Diagrama de Colaboração,Não iniciada,29 de setembro de 2024 → 6 de outubro de 2024,,Analise e projeto,Diagrama de sequencia (https://www.notion.so/Diagrama-de-sequencia-10aa4fab8f3780659d01eb4136d79dfe?pvs=21),"Diagrama de Classes (https://www.notion.so/Diagrama-de-Classes-10aa4fab8f378053b741e98911513c6a?pvs=21), RD Diagrama de Colaboração e Diagrama de Classes (https://www.notion.so/RD-Diagrama-de-Colabora-o-e-Diagrama-de-Classes-721d6a5df5c64f378aac2ee20589221e?pvs=21)",9,0%,
